ts_utc,harness,kept,why,p_edge_floor_pct,p_take_profit_pct,p_atr_floor_pct,p_threshold,oos_after_fee_expectancy_pct,oos_win_rate,oos_n_trades,oos_vs_buy_hold_pct
2026-06-20T01:00:53+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,3.0,2.5,2,-0.4,0.41,37,1.2
2026-06-20T01:02:23+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,3.0,2.5,2,-0.4,0.41,37,1.2
2026-06-20T02:43:58+00:00,harness-v1,False,no demonstrated OOS edge after fees vs buy-hold/coin-flip (NO-GO),1.5,3.0,2.5,macd_crossup+atrband,0.0289,0.7402,766,-35.0452
2026-06-20T02:44:59+00:00,harness-v1,False,no demonstrated OOS edge after fees vs buy-hold/coin-flip (NO-GO),1.5,3.0,2.5,macd_crossup+atrband,0.0289,0.7402,766,-35.0452
