cfg,n,exp,win,reg_lo,reg_mid,reg_hi
stop1.5/noTP/noTrail,149,-0.0015144406900455664,0.11409395973154363,-0.0008208521652179379,-0.0002700580197000459,-0.003427524231811805
stop2.0/noTP/noTrail,127,-0.0020811583973397068,0.15748031496062992,1.8862871123597657e-06,0.0015290882976951978,-0.007824046078837441
stop1.5/2.0ATR-decay/noTrail,275,-0.0026029383729162274,0.44727272727272727,-0.0005733463218452569,-0.002864124263181151,-0.004374183510790371
stop1.5/2.0ATR/noTrail,271,-0.0026459740511621983,0.43911439114391143,-0.0005874893972264601,-0.003165025784627024,-0.004208279023343507
stop2.0/3.0ATR-decay/noTrail,238,-0.002905047524814433,0.41596638655462187,-0.0006225569589372801,-0.0045754893310241615,-0.0035459885701258713
stop1.5/3.0ATR-decay/noTrail,258,-0.002913667222293751,0.3372093023255814,-0.0007895060793328548,-0.005191179012093058,-0.00276031657545534
stop1.5/2.0ATR-decay/trail3.0,275,-0.002914933545345172,0.41818181818181815,-0.0009590528573359245,-0.0026732832814578868,-0.005109837863938582
stop2.0/2.0ATR-decay/noTrail,259,-0.002945892649557302,0.5173745173745173,-0.00044280889706520325,-0.0022433691026876403,-0.00618060557394804
stop1.5/2.0ATR/trail3.0,271,-0.0030038892267079346,0.4059040590405904,-0.0009893599813590457,-0.003093736453838025,-0.004950954903208387
stop3.0/noTP/noTrail,107,-0.003024660090823806,0.205607476635514,-0.002977301094801349,0.0024511922955511426,-0.008395764462488575
stop2.0/2.0ATR/noTrail,257,-0.003078528318722429,0.5019455252918288,-0.00037303843892778167,-0.002777236813971061,-0.006081806313678313
stop3.0/2.0ATR-decay/trail3.0,231,-0.0030866289568566266,0.5497835497835498,-0.001098097138502829,-0.0026319487098969358,-0.005529841022170115
stop2.0/3.0ATR/noTrail,230,-0.0031268713178219626,0.39565217391304347,-0.0006318870887864225,-0.003950784625856781,-0.004808642411654305
stop1.5/3.0ATR/noTrail,255,-0.0031762279468242976,0.3215686274509804,-0.0006832825845220146,-0.004713297123635614,-0.004132104132315265
stop2.0/2.0ATR-decay/trail3.0,259,-0.0032037565564301917,0.49034749034749037,-0.0006916084819076938,-0.0022747637385843746,-0.006674108472920862
stop3.0/3.0ATR/trail3.0,208,-0.003232326136974661,0.41346153846153844,-0.0014143125108526634,-0.004684817897128483,-0.003624196026509822
stop3.0/2.0ATR/trail3.0,227,-0.0032335231455248633,0.5242290748898678,-0.0013048597278335803,-0.0031341412223921832,-0.005260260829465502
