symbol,date,close,volume,quote_volume,num_trades,taker_buy_base,taker_buy_ratio,flow_imbalance
BTC/USDT,2024-01-01,44179.55,27174.29903,1169995682.0280013,1114623,14331.7318,0.5274002388866772,0.054800477773354395
BTC/USDT,2024-01-02,44946.91,65146.40661,2944331821.823076,2247532,33817.14447,0.5190945476463019,0.038189095292603836
BTC/USDT,2024-01-03,42845.23,81194.55173,3507104563.744232,2658041,39103.99162,0.4816085659298214,-0.03678286814035725
BTC/USDT,2024-01-04,44151.1,48038.06334,2095095359.4936347,1819944,23605.90059,0.49139992224340995,-0.017200155513180104
BTC/USDT,2024-01-05,44145.11,48075.25327,2100953924.3687155,2064845,24015.06426,0.49953068629980407,-0.000938627400391856
BTC/USDT,2024-01-06,43968.32,17835.06144,781212883.4916061,956642,9048.57073,0.5073473259646926,0.014694651929385127
BTC/USDT,2024-01-07,43929.02,23023.8508,1014635096.1241482,1109259,11613.52347,0.5044127314271859,0.008825462854371802
BTC/USDT,2024-01-08,46951.04,72814.57589,3298772150.6815076,2364464,38728.8053,0.531882591179369,0.06376518235873796
BTC/USDT,2024-01-09,46110.0,69927.66617,3251442072.8083963,2637745,34825.45429,0.4980211152097714,-0.003957769580457238
BTC/USDT,2024-01-10,46653.99,89911.41203,4123809481.712767,3133588,46910.79439,0.5217446076183039,0.04348921523660776
BTC/USDT,2024-01-11,46339.16,87470.3296,4105139605.028302,2998451,44076.1683,0.5038985048022501,0.007797009604500138
BTC/USDT,2024-01-12,42782.73,86327.93707,3827483735.576057,2809192,41707.58066,0.4831295878897341,-0.03374082422053182
BTC/USDT,2024-01-13,42847.99,36118.47464,1547370611.5531662,1434243,17748.09824,0.4913855974511331,-0.017228805097733835
BTC/USDT,2024-01-14,41732.35,28228.40894,1202212782.257693,1235727,13690.30843,0.4849833534401106,-0.03003329311977876
BTC/USDT,2024-01-15,42511.1,40269.89303,1718982911.1081028,1657611,19924.7603,0.49478056187426633,-0.010438876251467333
BTC/USDT,2024-01-16,43137.95,45045.74589,1931947150.0590703,1716580,24064.55667,0.5342248461989004,0.06844969239780085
BTC/USDT,2024-01-17,42776.1,33266.21388,1419888430.9228892,1438172,16648.20529,0.5004538643939002,0.0009077287878003215
BTC/USDT,2024-01-18,41327.5,43907.51641,1839426541.2635791,1466087,21085.14336,0.4802171720010524,-0.03956565599789519
BTC/USDT,2024-01-19,41659.03,48342.74559,1993846466.538752,1641428,24347.5002,0.503643305791809,0.007286611583618097
BTC/USDT,2024-01-20,41696.04,15923.99493,662768008.1509343,807324,7557.36632,0.47458984715966623,-0.05082030568066753
BTC/USDT,2024-01-21,41580.33,11730.16301,489151571.0309043,657817,5576.56045,0.4754034914302525,-0.04919301713949498
BTC/USDT,2024-01-22,39568.02,55426.19911,2247452153.7954326,2147250,26788.13985,0.4833118683970318,-0.03337626320593645
BTC/USDT,2024-01-23,39897.6,57956.63351,2275851990.6468267,2043925,30913.97177,0.533398334198725,0.06679666839744991
BTC/USDT,2024-01-24,40084.88,39293.82861,1569704923.8307493,1675615,20673.05725,0.5261146083570706,0.05222921671414116
BTC/USDT,2024-01-25,39961.09,31022.11853,1238813296.1526136,1291233,15685.24919,0.5056150235139986,0.011230047027997125
BTC/USDT,2024-01-26,41823.51,47384.96726,1951700659.289807,1624861,24674.75551,0.5207296097644281,0.04145921952885612
BTC/USDT,2024-01-27,42120.63,16224.41667,678418702.3509445,751148,7485.64978,0.4613817514833339,-0.07723649703333224
BTC/USDT,2024-01-28,42031.06,27294.99838,1154365891.668259,1032493,12971.1882,0.4752221641274924,-0.049555671745015184
BTC/USDT,2024-01-29,43302.7,31542.74207,1343462280.3618684,1197856,15996.88627,0.5071495126992934,0.014299025398586851
BTC/USDT,2024-01-30,42941.1,37619.24546,1633251085.6713595,1316610,19317.29993,0.5134951457370353,0.026990291474070505
BTC/USDT,2024-01-31,42580.0,39871.13688,1711665577.0530825,1499559,20289.94825,0.508888129051012,0.01777625810202399
BTC/USDT,2024-02-01,43082.94,35231.04664,1497121440.644002,1392269,18134.84304,0.5147404000030582,0.029480800006116414
BTC/USDT,2024-02-02,43200.0,29672.14418,1277919437.2905612,1086342,15645.5711,0.527281446365633,0.05456289273126602
BTC/USDT,2024-02-03,43011.09,12033.40998,518775350.03360087,609962,5691.78572,0.4729985706013483,-0.05400285879730338
BTC/USDT,2024-02-04,42582.88,17066.89404,730999557.7083682,931235,8427.12671,0.49377037733105894,-0.012459245337882119
BTC/USDT,2024-02-05,42708.7,29467.75905,1262620640.5407171,1317397,14984.06962,0.508490299332755,0.01698059866551005
BTC/USDT,2024-02-06,43098.95,24675.85433,1061049582.6002768,1120760,12810.98205,0.5191707601558045,0.03834152031160909
BTC/USDT,2024-02-07,44349.6,34392.59915,1496013692.382922,1378809,17755.87738,0.5162702970647683,0.03254059412953669
BTC/USDT,2024-02-08,45288.65,45439.62231,2042912128.1517663,1863650,22731.52397,0.500257766557127,0.0005155331142538966
BTC/USDT,2024-02-09,47132.77,73503.481,3453043306.420976,2323884,37360.96419,0.5082883651455908,0.016576730291181674
BTC/USDT,2024-02-10,47751.09,24802.35936,1176079377.6922762,1323421,12740.69912,0.513688997690581,0.027377995381161924
BTC/USDT,2024-02-11,48299.99,29958.80837,1443314885.7714052,1407270,15741.38294,0.5254342143916186,0.050868428783237274
