symbol,date,level,entry,outcome,ret,crossover,volume
BNB/USDT,2024-06-04,631.4,685.7,loss,-0.1252296922852561,True,True
BTC/USDT,2024-06-05,70687.56,71108.0,loss,-0.05561706137143499,True,True
TRX/USDT,2024-06-09,0.11526,0.11688,timeout,0.07400752908966465,False,False
UNI/USDT,2024-06-16,11.968,11.984,loss,-0.05126835781041387,True,False
TRX/USDT,2024-06-21,0.11797,0.11835,win,0.09999999999999999,False,True
ZEC/USDT,2024-07-09,21.36,22.61,win,0.10000000000000013,False,True
XLM/USDT,2024-07-13,0.0943,0.1023,timeout,-0.0664711632453568,False,True
XRP/USDT,2024-07-13,0.4889,0.5257,win,0.10000000000000002,False,True
EUR/USDT,2024-07-13,1.0949,1.0955,timeout,-0.008854404381560767,True,False
BTC/USDT,2024-07-15,63861.76,64724.14,loss,-0.06265773481115393,False,True
NEAR/USDT,2024-07-15,5.599,5.915,loss,-0.10075232459847848,False,True
SOL/USDT,2024-07-15,155.0,159.38,win,0.1000000000000001,False,True
TAO/USDT,2024-07-18,321.0,336.2,loss,-0.0929506246281975,False,False
BNB/USDT,2024-07-19,588.3,593.4,loss,-0.058164812942366195,False,True
ETH/USDT,2024-07-21,3524.94,3535.92,loss,-0.05295001018122591,True,False
EUR/USDT,2024-08-13,1.0965,1.0982,timeout,0.006920415224913339,True,False
BNB/USDT,2024-08-17,535.8,541.6,win,0.10000000000000014,False,False
TRX/USDT,2024-08-19,0.1394,0.1432,win,0.1,True,True
BTC/USDT,2024-08-23,62745.14,64037.24,loss,-0.06916845572982226,False,True
NEAR/USDT,2024-08-23,4.413,4.838,loss,-0.133453906572964,False,True
TAO/USDT,2024-08-23,328.7,346.4,loss,-0.09854214780600459,False,True
ENA/USDT,2024-08-23,0.347,0.359,loss,-0.08175487465181071,False,True
WLD/USDT,2024-08-24,1.891,1.912,loss,-0.06043410041841007,False,True
XLM/USDT,2024-09-12,0.0945,0.095,timeout,-0.04736842105263162,False,True
ENA/USDT,2024-09-18,0.238,0.242,win,0.1,False,True
ETH/USDT,2024-09-19,2464.82,2465.21,win,0.10000000000000007,False,True
TAO/USDT,2024-09-19,364.6,374.2,win,0.10000000000000005,False,True
SOL/USDT,2024-09-19,139.8,142.89,win,0.10000000000000012,False,True
NEAR/USDT,2024-09-20,4.366,4.386,win,0.10000000000000002,False,True
WLD/USDT,2024-09-21,1.62,1.645,loss,-0.06443768996960492,False,False
XLM/USDT,2024-09-21,0.0974,0.098,loss,-0.05581632653061227,False,True
BNB/USDT,2024-09-23,600.6,604.5,loss,-0.05612903225806443,True,True
UNI/USDT,2024-09-26,7.142,7.357,loss,-0.0777626750033981,False,True
BTC/USDT,2024-09-26,65000.0,65173.99,loss,-0.05253614210208701,True,True
TRX/USDT,2024-09-27,0.155,0.1552,timeout,0.027061855670102972,True,True
XRP/USDT,2024-09-28,0.6128,0.6138,loss,-0.05154773541870316,True,True
TAO/USDT,2024-10-06,599.4,634.9,loss,-0.10311860135454406,True,False
ZEC/USDT,2024-10-10,32.54,33.85,win,0.10000000000000014,False,True
UNI/USDT,2024-10-10,7.868,8.133,loss,-0.08095413746465013,True,True
SOL/USDT,2024-10-14,152.4,157.59,win,0.10000000000000009,True,True
WLD/USDT,2024-10-14,2.182,2.416,loss,-0.1420115894039736,False,True
BTC/USDT,2024-10-14,64478.19,66083.99,win,0.10000000000000006,True,True
BNB/USDT,2024-10-14,586.8,589.1,loss,-0.05370904769988134,True,True
ETH/USDT,2024-10-14,2521.0,2629.79,loss,-0.08929990607615063,False,True
ENA/USDT,2024-10-15,0.4224,0.4284,loss,-0.06330532212885162,False,True
TRX/USDT,2024-10-24,0.164,0.1646,win,0.10000000000000002,True,True
BTC/USDT,2024-10-28,69519.52,69962.21,win,0.10000000000000006,True,True
ENA/USDT,2024-11-06,0.4061,0.4856,win,0.09999999999999999,True,True
SOL/USDT,2024-11-06,183.38,186.59,win,0.1000000000000001,True,True
ZEC/USDT,2024-11-06,41.12,43.24,win,0.10000000000000012,True,True
BTC/USDT,2024-11-06,73620.12,75571.99,win,0.1000000000000001,True,True
UNI/USDT,2024-11-06,8.327,9.288,win,0.10000000000000007,True,True
XLM/USDT,2024-11-07,0.0976,0.1021,win,0.1000000000000001,False,True
ETH/USDT,2024-11-07,2722.3,2895.47,win,0.10000000000000002,False,True
BNB/USDT,2024-11-09,612.2,624.66,win,0.10000000000000002,True,True
XRP/USDT,2024-11-10,0.5666,0.5884,win,0.1,False,True
NEAR/USDT,2024-11-11,5.282,5.562,loss,-0.09782452355267893,False,True
TRX/USDT,2024-11-12,0.1705,0.1873,win,0.10000000000000013,True,True
BTC/USDT,2024-11-20,93265.64,94286.56,win,0.10000000000000003,True,False
XRP/USDT,2024-11-22,1.2698,1.4726,win,0.10000000000000012,True,True
ZEC/USDT,2024-11-23,48.2,48.82,win,0.1000000000000001,True,True
ENA/USDT,2024-11-24,0.6743,0.6808,loss,-0.059070211515863696,True,False
NEAR/USDT,2024-11-24,6.389,6.873,loss,-0.11689946166157437,True,True
UNI/USDT,2024-11-24,10.764,10.899,win,0.10000000000000002,True,True
ETH/USDT,2024-11-27,3442.5,3653.28,win,0.10000000000000012,True,True
WLD/USDT,2024-11-28,2.856,2.943,win,0.10000000000000007,True,True
XRP/USDT,2024-11-29,1.63,1.8006,win,0.10000000000000006,True,False
TAO/USDT,2024-11-30,624.2,677.8,loss,-0.1251254057244024,True,False
NEAR/USDT,2024-12-02,7.251,7.48,loss,-0.07908422459893057,True,True
BNB/USDT,2024-12-03,687.75,734.64,loss,-0.11063582162691936,True,True
TRX/USDT,2024-12-03,0.2248,0.4334,timeout,-0.41716658975542226,True,True
BTC/USDT,2024-12-06,99588.01,99740.84,loss,-0.05145565748193023,True,True
BTC/USDT,2024-12-15,104088.0,104463.99,loss,-0.053419269166341564,True,False
ENA/USDT,2024-12-15,1.1477,1.2518,loss,-0.12900223677903827,True,True
TAO/USDT,2025-01-02,521.7,522.1,win,0.10000000000000006,False,True
TRX/USDT,2025-01-03,0.2654,0.2702,loss,-0.06687638786084373,True,False
BTC/USDT,2025-01-06,99963.7,102235.6,loss,-0.07111109046163964,True,True
XRP/USDT,2025-01-11,2.509,2.5764,loss,-0.07485250737463142,True,True
XLM/USDT,2025-01-15,0.486,0.4881,loss,-0.05408727719729571,True,True
BTC/USDT,2025-01-17,102724.38,104077.48,loss,-0.06235084669613449,True,True
