ts_utc,harness,kept,why,p_edge_floor_pct,p_take_profit_pct,p_atr_floor_pct,p_threshold,oos_after_fee_expectancy_pct,oos_win_rate,oos_n_trades,oos_vs_buy_hold_pct
2026-06-21T08:16:11+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-06-27T14:57:37+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-06-27T15:07:26+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
