symbol,quote_volume_24h_usdt,atr_pct,spread_pct,candle_count,pass,fail_reason,liquidity,atr_band,spread,history
BTC/USDT,1863533740.0,3.041,0.0,179,True,,True,True,True,True
ETH/USDT,571222669.0,4.218,0.0006,179,True,,True,True,True,True
SOL/USDT,228092234.0,5.315,0.0147,179,True,,True,True,True,True
XRP/USDT,126963704.0,4.4,0.0093,179,True,,True,True,True,True
ZEC/USDT,96986167.0,10.497,0.0024,179,True,,True,True,True,True
BNB/USDT,88694149.0,2.981,0.0018,179,True,,True,True,True,True
DOGE/USDT,65256683.0,4.439,0.0131,179,True,,True,True,True,True
SUI/USDT,32660766.0,6.138,0.0145,179,True,,True,True,True,True
AAVE/USDT,30331003.0,6.227,0.0126,179,True,,True,True,True,True
USDC/USDT,1812276266.0,0.103,0.001,179,False,atr_band,True,False,True,True
MEGA/USDT,393850502.0,14.597,0.0199,55,False,"atr_band,history",True,False,True,False
USD1/USDT,148971887.0,0.065,0.001,179,False,atr_band,True,False,True,True
WLD/USDT,70792585.0,13.642,0.0186,179,False,atr_band,True,False,True,True
TRX/USDT,50937204.0,1.555,0.0305,179,False,atr_band,True,False,True,True
ADA/USDT,40948146.0,6.2,0.0675,179,False,spread,True,True,False,True
XPL/USDT,39490542.0,15.243,0.1072,179,False,"atr_band,spread",True,False,False,True
SPCXB/USDT,38300589.0,,0.013,12,False,"atr_band,history",True,False,True,False
EUR/USDT,36591532.0,0.458,0.0088,179,False,atr_band,True,False,True,True
XAUT/USDT,34617601.0,2.234,0.0002,90,False,"atr_band,history",True,False,True,False
NEAR/USDT,32426799.0,9.756,0.0509,179,False,spread,True,True,False,True
PAXG/USDT,32258365.0,2.291,0.0002,179,False,atr_band,True,False,True,True
FDUSD/USDT,32211424.0,0.084,0.01,179,False,atr_band,True,False,True,True
RLUSD/USDT,29550567.0,0.049,0.01,153,False,"liquidity,atr_band",False,False,True,True
SYN/USDT,28610873.0,16.373,0.0923,179,False,"liquidity,atr_band,spread",False,False,False,True
TAO/USDT,27335916.0,9.474,0.0458,179,False,liquidity,False,True,True,True
