tag,panel,symbols,horizon,band,families,model,regime,class_weight,params,n_train,n_test,ratio,cv_top,top,all_rows,lift,p_null,thin,n_thin,thin_t,thin_all,ll,ll_prior
d29m4,equity-1h,AAPL JPM META QQQ XOM,6,0.001,d1+hr+ta+tl,LogReg.glm,bootstrap,none,"{""C"": 0.044340525694594235}",11044,3454,1.0091350005294433,0.0005307489989863252,-0.00016730262934794684,-0.0004429662649067114,0.00027566363555876457,0.2665,0.0004719828407424011,212,0.6541183382936112,-0.00046586989602590174,0.9462559584430252,0.9385337263171319
d29m5,equity-1h,AAPL JPM META QQQ XOM,6,0.001,d1+hr+ta+tl,HistGBM,leave-one-out,balanced,"{""learning_rate"": 0.057065725568702506, ""max_leaf_nodes"": 15, ""max_iter"": 106, ""l2_regularization"": 0.0, ""min_samples_leaf"": 100}",11044,3454,1.0876090538867935,0.006912331027910113,-0.0005027167954878425,-0.0004429662649067114,-5.975053058113113e-05,0.5455,-0.000547914252616466,224,-0.658346198124272,-0.00046586989602590174,1.0660780577542543,0.9385337263171319
d30m1,equity-1h,AAPL AMZN QQQ XLK XOM,12,0.0015,btc+d1+hr+rg,GBM.classic,bootstrap,none,"{""learning_rate"": 0.15241472298921951, ""n_estimators"": 79, ""max_depth"": 2, ""subsample"": 0.96}",11218,3367,1.0431464343841697,0.00877800183709939,0.0033650539815584775,0.00021221951690840457,0.003152834464650073,0.0,0.00032737187068785777,98,0.1812110409736353,-4.8289321150040126e-05,0.9442566529140868,0.9240198666311067
d30m2,equity-1h,AAPL AMZN QQQ XLK XOM,12,0.0015,btc+d1+hr+rg,RF,leave-one-out,balanced,"{""n_estimators"": 146, ""max_depth"": 8, ""min_samples_leaf"": 500, ""max_features"": ""sqrt""}",11218,3367,1.0023955075011992,0.00411757266940549,0.0023631636624569757,0.00021221951690840457,0.002150944145548571,0.0005,0.0022835587061570193,84,1.156317539459321,-4.8289321150040126e-05,1.0783791700350818,0.9240198666311067
d30m3,equity-1h,AAPL AMZN QQQ XLK XOM,12,0.0015,btc+d1+hr+rg,HistGBM,expanding,none,"{""learning_rate"": 0.03983576789809886, ""max_leaf_nodes"": 15, ""max_iter"": 105, ""l2_regularization"": 10.0, ""min_samples_leaf"": 400}",11218,3367,1.2866484381854941,-0.0012103125527217246,0.0017442322180543208,0.00021221951690840457,0.0015320127011459162,0.011,0.0013326076455608311,108,0.6503120736646237,-4.8289321150040126e-05,0.9760498283206621,0.9240198666311067
d30m4,equity-1h,AAPL AMZN QQQ XLK XOM,12,0.0015,btc+d1+hr+rg,HistGBM,rolling,balanced,"{""learning_rate"": 0.02313023187649842, ""max_leaf_nodes"": 15, ""max_iter"": 174, ""l2_regularization"": 0.0, ""min_samples_leaf"": 100}",11218,3367,2.0078850181049757,0.0006734426928130287,0.003235093910623624,0.00021221951690840457,0.0030228743937152193,0.0,-0.0003592239494459005,104,-0.21841318528153433,-4.8289321150040126e-05,1.065458562445141,0.9240198666311067
d30m5,equity-1h,AAPL AMZN QQQ XLK XOM,12,0.0015,btc+d1+hr+rg,GBM.classic,repeated-kfold,none,"{""learning_rate"": 0.02557956134143485, ""n_estimators"": 140, ""max_depth"": 3, ""subsample"": 0.99}",11218,3367,1.0197793884791917,0.009234046968684833,0.0018541928115497737,0.00021221951690840457,0.0016419732946413692,0.004,0.00034542519121401,94,0.1995937532537757,-4.8289321150040126e-05,0.926387198527793,0.9240198666311067
d31m1,crypto-1d,DOGE ETH,6,0.005,btc+hr+mo+mst+st+ta+w1,RF,kfold,none,"{""n_estimators"": 137, ""max_depth"": 12, ""min_samples_leaf"": 200, ""max_features"": ""sqrt""}",1444,307,1.006146328600037,0.045556350891140796,-0.0012179688734693392,-0.005197223441133045,0.003979254567663706,0.3525,0.004109871707546213,24,0.1945772327799055,-0.001358315745037264,0.8619102690434246,0.864581139896668
d31m2,crypto-1d,DOGE ETH,6,0.005,btc+hr+mo+mst+st+ta+w1,RF,rolling,none,"{""n_estimators"": 290, ""max_depth"": 3, ""min_samples_leaf"": 500, ""max_features"": ""sqrt""}",1444,307,1.0220980309556358,-0.024992711420039573,-0.005197223441133045,-0.005197223441133045,0.0,1.0,-0.0013583157450372657,104,-0.14914843737691189,-0.001358315745037264,0.8644112235383512,0.864581139896668
d31m3,crypto-1d,DOGE ETH,6,0.005,btc+hr+mo+mst+st+ta+w1,GBM.classic,leave-one-out,none,"{""learning_rate"": 0.0782885021926871, ""n_estimators"": 148, ""max_depth"": 2, ""subsample"": 0.8}",1444,307,1.3094217849135887,-0.0427937066629529,-0.02214290052653861,-0.005197223441133045,-0.016945677085405567,0.95,-0.024903821866718995,31,-1.5712215790558657,-0.001358315745037264,0.9287144912256491,0.864581139896668
d31m4,crypto-1d,DOGE ETH,6,0.005,btc+hr+mo+mst+st+ta+w1,GBM.classic,rolling,none,"{""learning_rate"": 0.07983758533142382, ""n_estimators"": 177, ""max_depth"": 3, ""subsample"": 0.52}",1444,307,8.00532503737426,-0.012759927416896267,-0.012923361278048927,-0.005197223441133045,-0.007726137836915882,0.7675,-0.005835100374999458,32,-0.3442747236860503,-0.001358315745037264,0.9895682396248662,0.864581139896668
d31m5,crypto-1d,DOGE ETH,6,0.005,btc+hr+mo+mst+st+ta+w1,RF,bootstrap,balanced,"{""n_estimators"": 284, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": ""0.6""}",1444,307,1.2852277163363013,0.07972359173277857,-0.0022743448863076347,-0.005197223441133045,0.0029228785548254103,0.3885,-0.0006586239414684718,33,-0.04113496703007634,-0.001358315745037264,1.0102386184851584,0.864581139896668
d32m1,crypto-4h,ADA LTC TRX,12,0.003,btc+d1+flow+mst+ta+wc,LightGBM,repeated-kfold,balanced,"{""learning_rate"": 0.03309054289917951, ""num_leaves"": 15, ""n_estimators"": 298, ""min_child_samples"": 20, ""subsample"": 0.7, ""subsample_freq"": 1, ""colsample_bytree"": 0.68, ""reg_lambda"": 1.0}",11060,1903,1.1881618093919775,0.043601827282351936,-0.005610637202722037,-0.0072407818427021875,0.0016301446399801505,0.242,-0.0014804767968206044,83,-0.23995621579870077,-0.007281868936520062,1.0654701616206168,0.9069252677778629
d32m2,crypto-4h,ADA LTC TRX,12,0.003,btc+d1+flow+mst+ta+wc,GBM.classic,monte-carlo,none,"{""learning_rate"": 0.03431962801078792, ""n_estimators"": 195, ""max_depth"": 2, ""subsample"": 0.56}",11060,1903,1.032188389990254,0.026405276754391874,-0.0036041045681221456,-0.0072407818427021875,0.003636677274580042,0.063,-0.006773568080660579,81,-1.1873343248981068,-0.007281868936520062,0.93366032927516,0.9069252677778629
d32m3,crypto-4h,ADA LTC TRX,12,0.003,btc+d1+flow+mst+ta+wc,LightGBM,leave-one-out,balanced,"{""learning_rate"": 0.011365985064761427, ""num_leaves"": 63, ""n_estimators"": 195, ""min_child_samples"": 100, ""subsample"": 0.73, ""subsample_freq"": 1, ""colsample_bytree"": 0.6, ""reg_lambda"": 10.0}",11060,1903,1.105321301524909,0.004537089997436851,-0.009843502882129838,-0.0072407818427021875,-0.002602721039427651,0.8565,-0.006316829094555367,82,-1.052085195420267,-0.007281868936520062,1.0609078192425783,0.9069252677778629
d32m4,crypto-4h,ADA LTC TRX,12,0.003,btc+d1+flow+mst+ta+wc,HistGBM,kfold,none,"{""learning_rate"": 0.13943750428687227, ""max_leaf_nodes"": 15, ""max_iter"": 253, ""l2_regularization"": 1.0, ""min_samples_leaf"": 100}",11060,1903,2.560555444175899,0.04884037283748027,-0.006188315241947144,-0.0072407818427021875,0.001052466600755043,0.3255,-0.0030621767771449337,98,-0.5359884900356308,-0.007281868936520062,1.1492935634992187,0.9069252677778629
d32m5,crypto-4h,ADA LTC TRX,12,0.003,btc+d1+flow+mst+ta+wc,RF,bootstrap,none,"{""n_estimators"": 176, ""max_depth"": 3, ""min_samples_leaf"": 500, ""max_features"": ""sqrt""}",11060,1903,1.0081879293039488,0.014260584720097015,-0.001728092068138354,-0.0072407818427021875,0.0055126897745638335,0.008,-0.0037969359905691835,76,-0.5734347467639079,-0.007281868936520062,0.9057598743229437,0.9069252677778629
d33m1,equity-1d,APH DUK EDV JETS KIM VTWO XLRE,24,0.001,rg+ta,LogReg.enet,kfold,balanced,"{""C"": 0.01887842383772142, ""l1_ratio"": 0.89}",7454,1176,1.002458506969525,0.03387484638424906,0.043897284050498225,0.022821760395938844,0.02107552365455938,0.0,0.04290737169535097,33,2.6763070260571236,0.026467525952185194,1.140824071155065,0.7415329366922222
d33m2,equity-1d,APH DUK EDV JETS KIM VTWO XLRE,24,0.001,rg+ta,RF,leave-one-out,none,"{""n_estimators"": 254, ""max_depth"": 12, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",7454,1176,1.0339603131863333,0.103454946393768,0.03421071017302486,0.022821760395938844,0.011388949777086012,0.0,0.023544498241371718,38,1.79581303340636,0.026467525952185194,0.7454863698914729,0.7415329366922222
d33m3,equity-1d,APH DUK EDV JETS KIM VTWO XLRE,24,0.001,rg+ta,GBM.classic,kfold,none,"{""learning_rate"": 0.022101261545054898, ""n_estimators"": 129, ""max_depth"": 3, ""subsample"": 0.54}",7454,1176,1.0366642084113047,0.05666131292101721,0.027928409001278943,0.022821760395938844,0.005106648605340099,0.0825,0.0214834474464578,31,1.8837042852407875,0.026467525952185194,0.7599074245479821,0.7415329366922222
d33m4,equity-1d,APH DUK EDV JETS KIM VTWO XLRE,24,0.001,rg+ta,RF,rolling,none,"{""n_estimators"": 217, ""max_depth"": 3, ""min_samples_leaf"": 200, ""max_features"": ""0.6""}",7454,1176,1.1435010187229795,0.01142909904177071,0.014639765513357921,0.022821760395938844,-0.008181994882580923,0.989,0.00758414537894229,27,0.8002074998596217,0.026467525952185194,0.7596073783959832,0.7415329366922222
d33m5,equity-1d,APH DUK EDV JETS KIM VTWO XLRE,24,0.001,rg+ta,HistGBM,monte-carlo,none,"{""learning_rate"": 0.011390605657892076, ""max_leaf_nodes"": 63, ""max_iter"": 382, ""l2_regularization"": 0.0, ""min_samples_leaf"": 400}",7454,1176,1.075986913873237,0.05710910724645994,0.035885137290899025,0.022821760395938844,0.01306337689496018,0.0,0.01804070109878553,41,1.689519397301837,0.026467525952185194,0.7804964417426563,0.7415329366922222
d34m1,crypto-1d,ADA BTC ETH,6,0.003,hr+ms+rg+ta+wc,LogReg.enet,leave-one-out,none,"{""C"": 0.16742500266865842, ""l1_ratio"": 0.97}",2406,407,1.008730282023292,0.08666695842395226,-0.0032538635843467516,-0.009910300085535022,0.0066564365011882705,0.211,-0.0028191463969594174,52,-0.26011230350186226,-0.012001550659760309,0.8416634259618879,0.8216708100569224
d34m2,crypto-1d,ADA BTC ETH,6,0.003,hr+ms+rg+ta+wc,GBM.classic,repeated-kfold,none,"{""learning_rate"": 0.04025071825678864, ""n_estimators"": 123, ""max_depth"": 4, ""subsample"": 0.78}",2406,407,1.3495261755628456,0.065756365443995,0.001769358160065078,-0.009910300085535022,0.0116796582456001,0.0755,0.0026132065721654447,42,0.19450830313604744,-0.012001550659760309,0.8559190048587743,0.8216708100569224
d34m3,crypto-1d,ADA BTC ETH,6,0.003,hr+ms+rg+ta+wc,RF,bootstrap,balanced,"{""n_estimators"": 169, ""max_depth"": 8, ""min_samples_leaf"": 200, ""max_features"": ""0.3""}",2406,407,1.0123666049810964,0.02830604444652017,-0.009532725676400133,-0.009910300085535022,0.0003775744091348895,0.4945,-0.01627238212305714,33,-1.2128492060251193,-0.012001550659760309,1.117254413740588,0.8216708100569224
d34m4,crypto-1d,ADA BTC ETH,6,0.003,hr+ms+rg+ta+wc,LogReg.enet,expanding,none,"{""C"": 0.03419884716327752, ""l1_ratio"": 0.98}",2406,407,1.0201174880680735,0.016673177655506362,-0.00394021969786618,-0.009910300085535022,0.005970080387668842,0.228,-0.003357986741610111,47,-0.29093472186458846,-0.012001550659760309,0.8279452704035571,0.8216708100569224
d34m5,crypto-1d,ADA BTC ETH,6,0.003,hr+ms+rg+ta+wc,HistGBM,kfold,none,"{""learning_rate"": 0.09898975650991415, ""max_leaf_nodes"": 15, ""max_iter"": 246, ""l2_regularization"": 1.0, ""min_samples_leaf"": 400}",2406,407,1.1705957913050808,0.042765572286266144,-0.008096254580614453,-0.009910300085535022,0.0018140455049205691,0.39,-0.002265118014351353,41,-0.19403432234321363,-0.012001550659760309,0.8815172571641212,0.8216708100569224
d35m1,crypto-1h,AVAX BNB BTC DOGE ETH LINK PEPE SOL,24,0.005,flow+tl,RF,repeated-kfold,balanced,"{""n_estimators"": 290, ""max_depth"": 3, ""min_samples_leaf"": 50, ""max_features"": ""sqrt""}",20000,21028,1.0015060347579723,0.002724869777765586,-0.00437535698585007,-0.005774119431334274,0.0013987624454842038,0.0015,-0.005919016145632867,460,-4.15797916207329,-0.005146760356486311,1.0967669285051078,1.0242187368506948
d35m2,crypto-1h,AVAX BNB BTC DOGE ETH LINK PEPE SOL,24,0.005,flow+tl,LogReg.glm,kfold,none,"{""C"": 0.008846152828938298}",20000,21028,1.0013448442206787,-0.0010231223924488404,-0.005528556577103928,-0.005774119431334274,0.00024556285423034657,0.3115,-0.004874916349029728,636,-3.689734438701575,-0.005146760356486311,1.0284006952656746,1.0242187368506948
d35m3,crypto-1h,AVAX BNB BTC DOGE ETH LINK PEPE SOL,24,0.005,flow+tl,RF,kfold,balanced,"{""n_estimators"": 126, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""0.3""}",20000,21028,1.0272880981166665,0.006840983133208738,-0.005166113302926458,-0.005774119431334274,0.000608006128407816,0.0885,-0.006152319853430225,480,-4.658879397338285,-0.005146760356486311,1.094000981779309,1.0242187368506948
d35m4,crypto-1h,AVAX BNB BTC DOGE ETH LINK PEPE SOL,24,0.005,flow+tl,RF,kfold,none,"{""n_estimators"": 205, ""max_depth"": 3, ""min_samples_leaf"": 500, ""max_features"": ""sqrt""}",20000,21028,1.0013537422113106,0.0015288618020822468,-0.0026260442835449272,-0.005774119431334274,0.003148075147789347,0.0,-0.004382969866290536,396,-3.157518038977753,-0.005146760356486311,1.022624472790868,1.0242187368506948
d35m5,crypto-1h,AVAX BNB BTC DOGE ETH LINK PEPE SOL,24,0.005,flow+tl,LogReg.glm,rolling,none,"{""C"": 4.325075319597417}",20000,21028,1.0373294493558343,-0.007627289044874361,-0.00574978548468303,-0.005774119431334274,2.433394665124402e-05,0.499,-0.005071889006442211,635,-3.78225590776298,-0.005146760356486311,1.028772500452566,1.0242187368506948
d36m1,crypto-4h,ETH LTC TRX XRP,24,0.01,btc+flow+hr+ta+tl,RF,repeated-kfold,balanced,"{""n_estimators"": 216, ""max_depth"": 3, ""min_samples_leaf"": 50, ""max_features"": ""0.6""}",20000,3921,1.0018915249105627,0.019670626414573844,0.004287717894105252,-0.0031709143569056,0.0074586322510108525,0.0005,-0.0004775129055907578,86,-0.08313366713727573,-0.00681434036239543,1.1196351191459817,1.0503447359251652
d36m2,crypto-4h,ETH LTC TRX XRP,24,0.01,btc+flow+hr+ta+tl,GBM.classic,repeated-kfold,none,"{""learning_rate"": 0.03075868717876077, ""n_estimators"": 193, ""max_depth"": 2, ""subsample"": 0.53}",20000,3921,1.0106523405057315,0.03389187153426307,-0.001861489080862516,-0.0031709143569056,0.0013094252760430841,0.226,-0.003472682664426409,82,-0.5015200457844771,-0.00681434036239543,1.0411130573747607,1.0503447359251652
d36m3,crypto-4h,ETH LTC TRX XRP,24,0.01,btc+flow+hr+ta+tl,RF,leave-one-out,none,"{""n_estimators"": 159, ""max_depth"": 4, ""min_samples_leaf"": 500, ""max_features"": ""0.3""}",20000,3921,1.0326106640809,-0.05034588217393806,0.0037894769425735253,-0.0031709143569056,0.006960391299479125,0.0005,0.0007408600137863376,87,0.11909278965631066,-0.00681434036239543,1.0445121179995798,1.0503447359251652
d36m4,crypto-4h,ETH LTC TRX XRP,24,0.01,btc+flow+hr+ta+tl,HistGBM,leave-one-out,none,"{""learning_rate"": 0.01101978850967244, ""max_leaf_nodes"": 7, ""max_iter"": 165, ""l2_regularization"": 0.0, ""min_samples_leaf"": 400}",20000,3921,1.0728024529485984,0.03268466084450483,-0.0008693553414180946,-0.0031709143569056,0.0023015590154875053,0.117,-0.00042396919595320766,92,-0.0663057614128586,-0.00681434036239543,1.0432729875233695,1.0503447359251652
d36m5,crypto-4h,ETH LTC TRX XRP,24,0.01,btc+flow+hr+ta+tl,RF,kfold,balanced,"{""n_estimators"": 238, ""max_depth"": 0, ""min_samples_leaf"": 500, ""max_features"": ""0.6""}",20000,3921,1.0042301379448133,0.023217142023029734,0.006046812887020279,-0.0031709143569056,0.009217727243925878,0.0,0.000529390475764455,90,0.10001894641756374,-0.00681434036239543,1.122798454220134,1.0503447359251652
d37m1,crypto-1h,BNB BTC DOGE LINK PEPE SOL,12,0.005,tl+wc,GBM.classic,monte-carlo,none,"{""learning_rate"": 0.16005002433355323, ""n_estimators"": 164, ""max_depth"": 3, ""subsample"": 0.62}",20000,16472,1.083180874157684,0.02009793609687828,-0.007387378113338747,-0.0038128617300246135,-0.0035745163833141337,1.0,-0.006395246619744757,417,-5.763959405066442,-0.003651694735656406,1.2730268190847995,1.0839891607507792
d37m2,crypto-1h,BNB BTC DOGE LINK PEPE SOL,12,0.005,tl+wc,LogReg.glm,leave-one-out,none,"{""C"": 0.022046707623145905}",20000,16472,0.9969437422913069,-0.002139439400906364,-0.006268021329712769,-0.0038128617300246135,-0.002455159599688155,1.0,-0.0043989950674562005,485,-3.437312268439054,-0.003651694735656406,1.119092300313599,1.0839891607507792
d37m3,crypto-1h,BNB BTC DOGE LINK PEPE SOL,12,0.005,tl+wc,LightGBM,repeated-kfold,none,"{""learning_rate"": 0.0986689062770558, ""num_leaves"": 31, ""n_estimators"": 365, ""min_child_samples"": 400, ""subsample"": 0.57, ""subsample_freq"": 1, ""colsample_bytree"": 0.52, ""reg_lambda"": 10.0}",20000,16472,1.1234846750118224,0.02121938564363518,-0.005078876692329693,-0.0038128617300246135,-0.0012660149623050796,1.0,-0.004391723578320557,456,-3.6982830913343907,-0.003651694735656406,1.270179982921456,1.0839891607507792
d37m4,crypto-1h,BNB BTC DOGE LINK PEPE SOL,12,0.005,tl+wc,LogReg.enet,kfold,none,"{""C"": 0.282149356063657, ""l1_ratio"": 0.51}",20000,16472,1.0017196575264518,0.002135457112860422,-0.0062935785285569675,-0.0038128617300246135,-0.002480716798532354,1.0,-0.004325310206560973,480,-3.304053435796933,-0.003651694735656406,1.1244938704478982,1.0839891607507792
d37m5,crypto-1h,BNB BTC DOGE LINK PEPE SOL,12,0.005,tl+wc,LightGBM,monte-carlo,none,"{""learning_rate"": 0.023686126522573916, ""num_leaves"": 7, ""n_estimators"": 174, ""min_child_samples"": 100, ""subsample"": 0.54, ""subsample_freq"": 1, ""colsample_bytree"": 0.75, ""reg_lambda"": 1.0}",20000,16472,1.0131046687777319,0.014146004342376122,-0.006568934298588088,-0.0038128617300246135,-0.002756072568563474,1.0,-0.005981193111366947,422,-4.901070964699492,-0.003651694735656406,1.0835971573747911,1.0839891607507792
d38m1,crypto-1d,BTC SOL,12,0.005,hr+ms+mst+st+tl+w1,LogReg.enet,kfold,none,"{""C"": 0.04756707095463367, ""l1_ratio"": 0.39}",1408,296,1.0239039718966352,0.04383847568331597,-0.01759707571286708,-0.010510386093041382,-0.0070866896198257,0.71,-0.01621358551749069,23,-0.8318195010977539,-0.019810168644735733,0.8944239524115563,0.8524532237794826
d38m2,crypto-1d,BTC SOL,12,0.005,hr+ms+mst+st+tl+w1,RF,expanding,none,"{""n_estimators"": 206, ""max_depth"": 8, ""min_samples_leaf"": 50, ""max_features"": ""0.3""}",1408,296,1.124985276029572,-0.011758256942447413,-0.01172863615800937,-0.010510386093041382,-0.0012182500649679882,0.5295,-0.03489763585974773,15,-1.4568025570744993,-0.019810168644735733,0.8712647329426065,0.8524532237794826
d38m3,crypto-1d,BTC SOL,12,0.005,hr+ms+mst+st+tl+w1,LogReg.glm,rolling,none,"{""C"": 6.603125021818965}",1408,296,1.7269165104640383,0.0011938319777260098,-0.02725618496971826,-0.010510386093041382,-0.016745798876676876,0.921,-0.04363362907711417,20,-2.3196445563054358,-0.019810168644735733,1.0780308757429231,0.8524532237794826
d38m4,crypto-1d,BTC SOL,12,0.005,hr+ms+mst+st+tl+w1,GBM.classic,leave-one-out,none,"{""learning_rate"": 0.03627848767284968, ""n_estimators"": 160, ""max_depth"": 2, ""subsample"": 0.95}",1408,296,1.0256694853385826,0.0663138808235526,0.006527609868906438,-0.010510386093041382,0.01703799596194782,0.073,-0.016140409800936197,17,-0.8296758828643,-0.019810168644735733,0.898265788131699,0.8524532237794826
d38m5,crypto-1d,BTC SOL,12,0.005,hr+ms+mst+st+tl+w1,RF,monte-carlo,balanced,"{""n_estimators"": 276, ""max_depth"": 12, ""min_samples_leaf"": 50, ""max_features"": ""0.6""}",1408,296,1.0373937726377105,0.05910133832201959,-0.02156926130224019,-0.010510386093041382,-0.011058875209198809,0.82,-0.030591767116449776,20,-1.5424704648505287,-0.019810168644735733,1.1183027303581552,0.8524532237794826
d39m1,equity-1d,IBN RIO STAG UCO,6,0.0015,btc+hr+rg,LogReg.enet,kfold,balanced,"{""C"": 0.4581233898593411, ""l1_ratio"": 0.33}",5307,736,1.0056654706631225,0.015043487292342918,0.008262632834646424,0.005274646081850654,0.00298798675279577,0.219,0.01482809959390116,44,1.3315052335474478,0.005980047213683183,1.1308324332378539,0.8146725914107067
d39m2,equity-1d,IBN RIO STAG UCO,6,0.0015,btc+hr+rg,LogReg.glm,expanding,none,"{""C"": 0.04023704818742387}",5307,736,1.0628264427294292,0.001016806520428596,0.012724593195719707,0.005274646081850654,0.007449947113869053,0.0285,0.016318916983555917,43,1.3695613793665689,0.005980047213683183,0.8279849815643977,0.8146725914107067
d39m3,equity-1d,IBN RIO STAG UCO,6,0.0015,btc+hr+rg,LogReg.glm,kfold,none,"{""C"": 0.7699671809122841}",5307,736,1.0065052878542238,0.01572853524502612,0.010750205679925635,0.005274646081850654,0.0054755595980749815,0.0795,0.015988372141938833,42,1.410475999598848,0.005980047213683183,0.8359815455095941,0.8146725914107067
d39m4,equity-1d,IBN RIO STAG UCO,6,0.0015,btc+hr+rg,HistGBM,rolling,none,"{""learning_rate"": 0.171461027925486, ""max_leaf_nodes"": 63, ""max_iter"": 209, ""l2_regularization"": 0.0, ""min_samples_leaf"": 20}",5307,736,66271.63595010535,0.007432857085747439,-0.0013640855921312814,0.005274646081850654,-0.0066387316739819355,0.9615,-0.0010676370395178154,55,-0.131556631380859,0.005980047213683183,2.347199622000836,0.8146725914107067
d39m5,equity-1d,IBN RIO STAG UCO,6,0.0015,btc+hr+rg,RF,expanding,none,"{""n_estimators"": 268, ""max_depth"": 6, ""min_samples_leaf"": 10, ""max_features"": ""0.3""}",5307,736,1.1366908832748215,0.0003578428356798694,-0.00223570767086553,0.005274646081850654,-0.007510353752716184,0.9795,0.0027647064891643813,39,0.2639953488436056,0.005980047213683183,0.8334310473671912,0.8146725914107067
d40m1,equity-1d,AEM DEO ITUB LVS RIO VTWO XLY,6,0.005,btc+mst+st+w1,GBM.classic,bootstrap,none,"{""learning_rate"": 0.12158532247678637, ""n_estimators"": 134, ""max_depth"": 2, ""subsample"": 0.98}",8937,1233,1.0711117691701528,0.016737978063871457,0.004372276633654095,0.002707650640435996,0.0016646259932180988,0.2465,0.0017000179396341791,95,0.37505830195077355,0.0030355326130227416,0.9930318345896969,0.9690569764453975
d40m2,equity-1d,AEM DEO ITUB LVS RIO VTWO XLY,6,0.005,btc+mst+st+w1,GBM.classic,monte-carlo,none,"{""learning_rate"": 0.16842155911683543, ""n_estimators"": 116, ""max_depth"": 2, ""subsample"": 0.73}",8937,1233,1.0525094970605824,0.019566660943540492,0.0007870662414948626,0.002707650640435996,-0.0019205843989411335,0.764,4.8509265729079765e-05,96,0.01017691519686652,0.0030355326130227416,1.0184498901583807,0.9690569764453975
d40m3,equity-1d,AEM DEO ITUB LVS RIO VTWO XLY,6,0.005,btc+mst+st+w1,HistGBM,repeated-kfold,none,"{""learning_rate"": 0.06146945047378184, ""max_leaf_nodes"": 31, ""max_iter"": 285, ""l2_regularization"": 10.0, ""min_samples_leaf"": 100}",8937,1233,1.9057790263941594,0.03061108384122075,0.0020260538380816465,0.002707650640435996,-0.0006815968023543497,0.605,0.0010873008574458895,91,0.23458724945242057,0.0030355326130227416,1.1245305026464791,0.9690569764453975
d40m4,equity-1d,AEM DEO ITUB LVS RIO VTWO XLY,6,0.005,btc+mst+st+w1,RF,leave-one-out,balanced,"{""n_estimators"": 142, ""max_depth"": 4, ""min_samples_leaf"": 10, ""max_features"": ""0.6""}",8937,1233,1.007499068914352,0.04440235564733545,0.006149087761254012,0.002707650640435996,0.003441437120818016,0.095,0.0037964061061150473,86,0.9037148925096062,0.0030355326130227416,1.1072646696840314,0.9690569764453975
d40m5,equity-1d,AEM DEO ITUB LVS RIO VTWO XLY,6,0.005,btc+mst+st+w1,LightGBM,kfold,none,"{""learning_rate"": 0.16981280155225079, ""num_leaves"": 15, ""n_estimators"": 354, ""min_child_samples"": 400, ""subsample"": 0.86, ""subsample_freq"": 1, ""colsample_bytree"": 0.84, ""reg_lambda"": 10.0}",8937,1233,1.3294063586913683,0.025654390464791423,0.003325209946363603,0.002707650640435996,0.0006175593059276068,0.3985,0.006532033784235337,95,1.4241023218604518,0.0030355326130227416,1.1761194415326843,0.9690569764453975
rep-d33m1,equity-1d,BAC ITA KR RITM SCHH TSLA XLY,24,0.001,rg+ta,LogReg.enet,kfold,balanced,"{""C"": 0.01887842383772142, ""l1_ratio"": 0.89}",7590,1155,1.002193211366936,0.030577865204211935,0.01669838391692837,0.009587369489183175,0.007111014427745196,0.043,0.020151060052216053,30,1.5156365580723512,0.014341931373501818,1.1424576749255393,0.7486079575167607
rep-d22m2,equity-1d,DCI DUK IBN ITA ITUB MS SNY,24,0.005,btc+mo+mst+ta+w1,LogReg.glm,kfold,balanced,"{""C"": 0.31295603814090583}",8862,1224,1.005542677009119,0.04203136846875212,0.005577005351499217,0.014618772693735939,-0.00904176734223672,0.987,0.006455254650928757,22,0.564805195070767,0.016014670947735957,1.156120298775167,0.8904193794176211
rep-d33m5,equity-1d,AEM CVE IBN RIO RITM SNY SPXS,24,0.001,rg+ta,HistGBM,monte-carlo,none,"{""learning_rate"": 0.011390605657892076, ""max_leaf_nodes"": 63, ""max_iter"": 382, ""l2_regularization"": 0.0, ""min_samples_leaf"": 400}",9016,1216,1.070813490333983,0.0533511758261563,0.010051571771233402,0.008778886789933351,0.0012726849813000513,0.3985,0.021515844892371783,33,1.7627633112555277,0.006442116165872325,0.8054002626643291,0.7586564066821545
rep-d33m2,equity-1d,AEP AVT LVS MSCI O QID UCO,24,0.001,rg+ta,RF,leave-one-out,none,"{""n_estimators"": 254, ""max_depth"": 12, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",8285,1107,1.1909527794702488,0.05199452296943249,0.02695812009768466,0.014112571729422933,0.012845548368261728,0.0475,0.03369775886716029,38,1.5541605579449371,0.02100717417305553,0.7545904977858722,0.7581321593608688
rep-d33m3,equity-1d,CVX DEO IBN RIO SPXS TSLA VZ,24,0.001,rg+ta,GBM.classic,kfold,none,"{""learning_rate"": 0.022101261545054898, ""n_estimators"": 129, ""max_depth"": 3, ""subsample"": 0.54}",9344,1247,1.0319746354476065,0.04699449065577903,0.030721574016846713,0.005111293708433755,0.025610280308412958,0.0,0.02529033094438325,35,1.9574429993878317,0.004345739282111263,0.7266815958201259,0.7517007110033113
