symbol,quote_volume_24h_usdt,atr_pct,spread_pct,candle_count,pass,fail_reason,liquidity,atr_band,spread,history
BTC/USDT,683291450.0,3.236,0.0,179,True,,True,True,True,True
ETH/USDT,503414781.0,4.078,0.0004,179,True,,True,True,True,True
ZEC/USDT,394531807.0,7.844,0.012,179,True,,True,True,True,True
SOL/USDT,275451641.0,5.674,0.0094,179,True,,True,True,True,True
BNB/USDT,134075726.0,3.267,0.0013,179,True,,True,True,True,True
XRP/USDT,99484492.0,5.911,0.007,179,True,,True,True,True,True
DOGE/USDT,94164039.0,5.857,0.011,179,True,,True,True,True,True
UNI/USDT,91155742.0,8.005,0.0139,179,True,,True,True,True,True
NEAR/USDT,85744236.0,7.009,0.0407,179,True,,True,True,True,True
DASH/USDT,74237189.0,9.027,0.042,179,True,,True,True,True,True
SUI/USDT,56704926.0,6.765,0.0123,179,True,,True,True,True,True
TAO/USDT,55390504.0,7.137,0.0373,179,True,,True,True,True,True
LINK/USDT,47534283.0,5.156,0.0077,179,True,,True,True,True,True
USDC/USDT,2386645595.0,0.041,0.001,179,False,atr_band,True,False,True,True
USD1/USDT,131781628.0,0.044,0.001,179,False,atr_band,True,False,True,True
PROM/USDT,130648990.0,22.932,0.0181,179,False,atr_band,True,False,True,True
ARB/USDT,110091151.0,8.517,0.0528,179,False,spread,True,True,False,True
ENA/USDT,56353995.0,12.017,0.0567,179,False,"atr_band,spread",True,False,False,True
MARSCOIN/USDT,54912552.0,,0.1065,2,False,"atr_band,spread,history",True,False,False,False
PUMP/USDT,43855288.0,14.252,0.0251,179,False,atr_band,True,False,True,True
SAHARA/USDT,43849245.0,6.249,0.1071,179,False,spread,True,True,False,True
RAY/USDT,37212893.0,6.656,0.0558,179,False,spread,True,True,False,True
ADA/USDT,28875635.0,6.416,0.0452,179,False,liquidity,False,True,True,True
ASTER/USDT,24220447.0,6.463,0.1275,179,False,"liquidity,spread",False,True,False,True
WLD/USDT,21645824.0,7.901,0.0238,179,False,liquidity,False,True,True,True
