symbol,quote_volume_24h_usdt,atr_pct,spread_pct,candle_count,pass,fail_reason,liquidity,atr_band,spread,history
BTC/USDT,762289209.0,3.11,0.0,179,True,,True,True,True,True
ETH/USDT,551961014.0,3.842,0.0004,179,True,,True,True,True,True
ZEC/USDT,445279764.0,7.205,0.0008,179,True,,True,True,True,True
SOL/USDT,291449305.0,5.398,0.0095,179,True,,True,True,True,True
BNB/USDT,125380738.0,3.311,0.0013,179,True,,True,True,True,True
XRP/USDT,120432952.0,5.454,0.0071,179,True,,True,True,True,True
NEAR/USDT,90422523.0,6.563,0.0416,179,True,,True,True,True,True
DOGE/USDT,88586798.0,5.662,0.0112,179,True,,True,True,True,True
UNI/USDT,78024191.0,7.667,0.0142,179,True,,True,True,True,True
DASH/USDT,73416623.0,9.102,0.0286,179,True,,True,True,True,True
TAO/USDT,70907998.0,6.535,0.0374,179,True,,True,True,True,True
SUI/USDT,58956758.0,6.256,0.0126,179,True,,True,True,True,True
LINK/USDT,55848860.0,5.003,0.0077,179,True,,True,True,True,True
RAY/USDT,39676011.0,7.238,0.0249,179,True,,True,True,True,True
ADA/USDT,32499467.0,5.985,0.0456,179,True,,True,True,True,True
USDC/USDT,2433775701.0,0.041,0.001,179,False,atr_band,True,False,True,True
USD1/USDT,140925026.0,0.043,0.001,179,False,atr_band,True,False,True,True
PROM/USDT,98413003.0,21.537,0.0186,179,False,atr_band,True,False,True,True
ARB/USDT,72366028.0,8.72,0.0563,179,False,spread,True,True,False,True
MARSCOIN/USDT,56203233.0,,0.1227,3,False,"atr_band,spread,history",True,False,False,False
SAHARA/USDT,51291642.0,6.011,0.1083,179,False,spread,True,True,False,True
PUMP/USDT,40269269.0,12.797,0.0252,179,False,atr_band,True,False,True,True
ENA/USDT,38375848.0,10.99,0.0578,179,False,spread,True,True,False,True
WLD/USDT,25577567.0,7.126,0.0242,179,False,liquidity,False,True,True,True
LTC/USDT,22001703.0,4.0,0.0185,179,False,liquidity,False,True,True,True
