symbol,trades,ret,bh,edge,sharpe,sortino,calmar,maxdd,winrate,pf
BTCUSDT,158,-0.46835429042830223,-0.3772473422505622,-0.09110694817774001,-4.95631310816382,-1.896411648175956,-0.9375778424412258,-0.49957733099025686,0.21518987341772153,0.2633923900690931
ETHUSDT,147,-0.4513722771006454,-0.27788077492565544,-0.17349150217499,-2.997657127566746,-1.1951930720516193,-0.9340022812581913,-0.4833070404591699,0.2857142857142857,0.4896663844447359
BNBUSDT,160,-0.43141550111542437,-0.08402261787934029,-0.3473928832360841,-3.7646216028038033,-1.4674278426879792,-0.9985009060777668,-0.4320999092518586,0.25,0.4095298118072521
