tag,panel,symbols,horizon,band,families,model,regime,class_weight,params,n_train,n_test,ratio,cv_top,top,all_rows,lift,p_null,thin,n_thin,thin_t,thin_all,ll,ll_prior
anchor-16sep-band0.002,crypto-4h-slice,LINK LTC MATIC,12,0.002,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",6664,1323,1.0319517946530783,-0.0008720070259482405,0.008348737579556143,0.0006635221313142556,0.007685215448241887,0.014,0.013296819778604418,56,1.3514097018023685,0.0053013595323996455,0.7803095596154548,0.7798750818302682
anchor-16sep-band0.01,crypto-4h-slice,LINK LTC MATIC,12,0.01,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",6664,1323,1.0258724138419086,0.0015623080633421662,0.010668060051609323,0.0006635221313142556,0.010004537920295067,0.003,0.012501376108739373,55,1.2458581259406833,0.0053013595323996455,0.9868529536957183,0.9859364325236323
anchor-16sep-exact-time,crypto-4h-slice,LINK LTC MATIC,12,0.002,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",572,137,1.0153634932911555,-0.0004350276969772311,0.030149963013668797,0.030149963013668797,0.0,1.0,0.025119798447224572,25,1.5608834124037767,0.025119798447224576,0.7979051575164807,0.7944204804993165
d03m1,crypto-4h,BTC ETH LINK SOL TRX XRP,6,0.003,btc+hr+mst+st+tl+w1,GBM.classic,rolling,none,"{""learning_rate"": 0.08282756792028317, ""n_estimators"": 70, ""max_depth"": 4, ""subsample"": 0.76}",14377,3272,1.579241504783117,0.0010808269589099614,-0.0010308296648991644,-0.0025714570356469403,0.001540627370747776,0.0735,-0.002539462775810811,238,-1.1132923857483736,-0.0023379541704454747,0.9655243142274422,0.962892035388321
d03m2,crypto-4h,BTC ETH LINK SOL TRX XRP,6,0.003,btc+hr+mst+st+tl+w1,GBM.classic,expanding,none,"{""learning_rate"": 0.08402143826683833, ""n_estimators"": 146, ""max_depth"": 3, ""subsample"": 0.92}",14377,3272,1.2530434304444875,-0.00038689926306554874,-0.0019740797220080563,-0.0025714570356469403,0.000597377313638884,0.3,-0.0012366626182524314,244,-0.5559680593215841,-0.0023379541704454747,0.9663099422469545,0.962892035388321
d03m3,crypto-4h,BTC ETH LINK SOL TRX XRP,6,0.003,btc+hr+mst+st+tl+w1,LogReg.enet,bootstrap,none,"{""C"": 0.16915875895749097, ""l1_ratio"": 0.19}",14377,3272,1.0072758509733193,0.005525158318014176,-0.0025914825293367003,-0.0025714570356469403,-2.0025493689759984e-05,0.506,-0.0010748367046080618,256,-0.5222532940199549,-0.0023379541704454747,0.9634623410472712,0.962892035388321
rep-d03m1,crypto-4h,ADA AVAX BNB DOGE LTC,6,0.003,btc+hr+mst+st+tl+w1,GBM.classic,rolling,none,"{""learning_rate"": 0.08282756792028317, ""n_estimators"": 70, ""max_depth"": 4, ""subsample"": 0.76}",6589,1878,2.39150299601017,-0.0008183450059643443,0.0037514922129988186,-0.0021557055118966587,0.005907197724895477,0.0,-0.0014069955958847852,136,-0.3660540017922743,-0.004202256182822354,0.9589367918112299,0.9248085767189986
