tag,panel,symbols,horizon,band,families,model,regime,class_weight,params,n_train,n_test,ratio,cv_top,top,all_rows,lift,p_null,thin,n_thin,thin_t,thin_all,ll,ll_prior
anchor-16sep-band0.002,crypto-4h-slice,LINK LTC MATIC,12,0.002,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",6664,1323,1.0319517946530783,-0.0008720070259482405,0.008348737579556143,0.0006635221313142556,0.007685215448241887,0.014,0.014065023051770242,56,1.4499788532402655,0.004090771315107611,0.7803095596154548,0.7798750818302682
anchor-16sep-band0.01,crypto-4h-slice,LINK LTC MATIC,12,0.01,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",6664,1323,1.0258724138419086,0.0015623080633421662,0.010668060051609323,0.0006635221313142556,0.010004537920295067,0.003,0.013283546714144577,55,1.3425729979380094,0.004090771315107611,0.9868529536957183,0.9859364325236323
anchor-16sep-exact-time,crypto-4h-slice,LINK LTC MATIC,12,0.002,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",591,137,1.0149047610214776,0.014208285646543655,0.030149963013668797,0.030149963013668797,0.0,1.0,0.025119798447224572,25,1.5608834124037767,0.025119798447224576,0.7909200028697652,0.7891460138864025
d01m1,equity-1h,GOOGL QQQ XOM,12,0.0005,4h+btc+mst+rg+st+tl+wc,LogReg.glm,expanding,none,"{""C"": 0.2524617974058922}",5396,1637,1.254770135508653,0.003310809196660422,0.006223304812036875,-0.0003816812803622671,0.006604986092399142,0.0,0.0028159253448679067,54,1.0825565255323628,-0.0009992035597934101,0.7850795792287771,0.7700758031267511
d02m1,equity-1h,AAPL AMZN GOOGL JPM META MSFT NVDA XLK,12,0.005,4h+btc+mst+rg+st+tl+wc,HistGBM,rolling,none,"{""learning_rate"": 0.02532745361713396, ""max_leaf_nodes"": 15, ""max_iter"": 119, ""l2_regularization"": 0.0, ""min_samples_leaf"": 100}",17545,5562,1.6342707161559824,0.001414697959933842,0.0007778695057584404,0.0006449201223748932,0.00013294938338354718,0.4125,0.0008203236828479575,163,0.5627607149110841,0.00013926508471195117,1.106796059401442,1.0801180373863888
d04m1,crypto-1h,ADA AVAX DOGE SOL,72,0.002,flow+hr+tl+wc,GBM.classic,kfold,none,"{""learning_rate"": 0.12213684259959263, ""n_estimators"": 79, ""max_depth"": 4, ""subsample"": 0.76}",20000,4996,1.115116334331291,0.07397789139652741,0.012142358835801132,-0.001181958037181082,0.013324316872982214,0.0,0.008317122539839681,39,0.7174979594258777,-0.004731327515013598,2.0808434094465587,0.8088149975137532
