symbol,quote_volume_24h_usdt,atr_pct,spread_pct,candle_count,pass,fail_reason,liquidity,atr_band,spread,history
BTC/USDT,702748078.0,3.236,0.0,179,True,,True,True,True,True
ETH/USDT,478287100.0,4.078,0.0004,179,True,,True,True,True,True
ZEC/USDT,377189051.0,7.844,0.0008,179,True,,True,True,True,True
SOL/USDT,274010498.0,5.674,0.0094,179,True,,True,True,True,True
BNB/USDT,140310481.0,3.267,0.0013,179,True,,True,True,True,True
DOGE/USDT,107817636.0,5.857,0.0112,179,True,,True,True,True,True
UNI/USDT,107618467.0,8.005,0.014,179,True,,True,True,True,True
XRP/USDT,103712769.0,5.911,0.0071,179,True,,True,True,True,True
NEAR/USDT,83253084.0,7.009,0.0415,179,True,,True,True,True,True
DASH/USDT,72557023.0,9.027,0.0141,179,True,,True,True,True,True
SUI/USDT,58313585.0,6.765,0.0126,179,True,,True,True,True,True
TAO/USDT,39054761.0,7.137,0.039,179,True,,True,True,True,True
ADA/USDT,30778415.0,6.416,0.0457,179,True,,True,True,True,True
USDC/USDT,2282883224.0,0.041,0.001,179,False,atr_band,True,False,True,True
PROM/USDT,133992946.0,22.932,0.0185,179,False,atr_band,True,False,True,True
USD1/USDT,131917999.0,0.044,0.001,179,False,atr_band,True,False,True,True
ARB/USDT,123523252.0,8.517,0.054,179,False,spread,True,True,False,True
ENA/USDT,61082568.0,12.017,0.0572,179,False,"atr_band,spread",True,False,False,True
MARSCOIN/USDT,57784468.0,,0.0552,2,False,"atr_band,spread,history",True,False,False,False
PUMP/USDT,44598164.0,14.252,0.0259,179,False,atr_band,True,False,True,True
SAHARA/USDT,43954574.0,6.249,0.1074,179,False,spread,True,True,False,True
RAY/USDT,32464800.0,6.656,0.0503,179,False,spread,True,True,False,True
LINK/USDT,26897951.0,5.156,0.0081,179,False,liquidity,False,True,True,True
ASTER/USDT,25532111.0,6.463,0.1301,179,False,"liquidity,spread",False,True,False,True
WLD/USDT,22262971.0,7.901,0.0242,179,False,liquidity,False,True,True,True
