bin,n,predicted,observed,gap,mapping
0.0-0.1,14,0.07998658309044236,0.21428571428571427,0.13429913119527193,raw
0.1-0.2,229,0.1686508180955602,0.14847161572052403,-0.020179202375036176,raw
0.2-0.3,1299,0.2606449494229379,0.18090839107005388,-0.07973655835288404,raw
0.3-0.4,3349,0.35580241311967553,0.22693341295909228,-0.12886900016058325,raw
0.4-0.5,5629,0.4518458742606458,0.2606146740095932,-0.1912312002510526,raw
0.5-0.6,5092,0.5460459956960861,0.2833857030636292,-0.26266029263245694,raw
0.6-0.7,1953,0.6399328711892064,0.2672811059907834,-0.37265176519842297,raw
0.7-0.8,614,0.7460712011022375,0.26221498371335505,-0.4838562173888824,raw
0.8-0.9,458,0.8474432780636496,0.24017467248908297,-0.6072686055745666,raw
0.9-1.0,235,0.9260815622844234,0.225531914893617,-0.7005496473908064,raw
0.1-0.2,481,0.18424753945317798,0.15384615384615385,-0.03040138560702413,Platt
0.2-0.3,12968,0.2617777118149395,0.24868908081431215,-0.013088631000627321,Platt
0.3-0.4,4712,0.3255116766302994,0.28034804753820036,-0.045163629092099034,Platt
0.4-0.5,565,0.4421730159002961,0.2336283185840708,-0.20854469731622532,Platt
0.5-0.6,146,0.5283437481565603,0.2465753424657534,-0.28176840569080686,Platt
0.0-0.1,43,0.01902748414376321,0.13953488372093023,0.12050739957716702,isotonic
0.1-0.2,2163,0.19120179097457254,0.20018492834026816,0.008983137365695615,isotonic
0.2-0.3,12000,0.279376724415764,0.25758333333333333,-0.02179339108243067,isotonic
0.3-0.4,4428,0.3175944852024915,0.27168021680216803,-0.04591426840032348,isotonic
0.4-0.5,109,0.4650170938734856,0.22935779816513763,-0.23565929570834798,isotonic
0.5-0.6,2,0.5693062345072151,0.5,-0.06930623450721507,isotonic
0.6-0.7,6,0.6444244621963361,0.3333333333333333,-0.3110911288630028,isotonic
0.7-0.8,8,0.7464853389107502,0.375,-0.3714853389107502,isotonic
0.8-0.9,108,0.8497810222687823,0.2037037037037037,-0.6460773185650786,isotonic
0.9-1.0,5,1.0,0.4,-0.6,isotonic
